Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2026,7,Chiapas,El patrimonio,Robo,Robo a negocio,Con violencia,8,9,8,5,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo a negocio,Sin violencia,4,4,2,4,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo de ganado,Con violencia,1,2,3,2,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo de ganado,Sin violencia,2,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Con violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo de maquinaria - Herramienta industrial o agrícola,Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Con violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Robo de maquinaria - Tractores y/o montacargas,Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Con violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,"Robo de maquinaria - Cables, tubos y otros objetos destinados a servicios públicos",Sin violencia,0,0,0,0,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Otros robos,Con violencia,26,8,10,14,,,,,,,,
2026,7,Chiapas,El patrimonio,Robo,Otros robos,Sin violencia,19,27,32,24,,,,,,,,
2026,7,Chiapas,El patrimonio,Fraude,Fraude,Fraude,4,11,11,11,,,,,,,,
